"nameTransl","nameEn","presetKey","searchable","icon","tags0","tags1","tags2","tags3","tags4","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation"
"Barrera","Lift Gate","barrier/lift_gate"," "," ","barrier=lift_gate"," "," "," "," "," "," ","point","vertex"," "
"Barrera","Barrier","barrier"," "," ","barrier=*"," "," "," "," ","area","line","point","vertex"," "
"Capiella","Chapel","building/chapel"," ","place-of-worship","building=chapel"," "," "," "," ","area"," ","point"," "," "
"Capiella","Wayside Shrine","historic/wayside_shrine"," "," ","historic=wayside_shrine"," "," "," "," ","area"," ","point","vertex"," "
"Comercial","Retail","landuse/retail"," ","shop","landuse=retail"," "," "," "," ","area"," ","point"," "," "
"Comercial","Commercial","landuse/commercial"," ","commercial","landuse=commercial"," "," "," "," ","area"," ","point"," "," "
"Edificiu comercial","Commercial Building","building/commercial"," ","commercial","building=commercial"," "," "," "," ","area"," ","point"," "," "
"Edificiu comercial","Retail Building","building/retail"," ","building","building=retail"," "," "," "," ","area"," ","point"," "," "
"Fotografía","Photography Store","shop/photo"," ","camera","shop=photo"," "," "," "," ","area"," ","point"," "," "
"Fotografía","Photographer","craft/photographer"," ","camera","craft=photographer"," "," "," "," ","area"," ","point"," "," "
"Ilesia","Church","building/church"," ","place-of-worship","building=church"," "," "," "," ","area"," ","point"," "," "
"Ilesia","Church","amenity/place_of_worship/christian"," ","religious-christian","amenity=place_of_worship","religion=christian"," "," "," ","area"," ","point"," "," "
"Llende alministrativa","Administrative Boundary","type/boundary/administrative"," ","boundary","type=boundary","boundary=administrative"," "," "," "," "," "," "," ","relation"
"Llende alministrativa","Administrative Boundary","boundary/administrative"," "," ","boundary=administrative"," "," "," "," "," ","line"," "," "," "
"Pasu de peatones","Crossing","highway/crossing"," "," ","highway=crossing"," "," "," "," "," "," "," ","vertex"," "
"Pasu de peatones","Crossing","footway/crossing"," "," ","highway=footway","footway=crossing"," "," "," "," ","line"," "," "," "
"Riega","Ditch","barrier/ditch"," "," ","barrier=ditch"," "," "," "," ","area","line"," "," "," "
"Riega","Ditch","waterway/ditch"," ","waterway-ditch","waterway=ditch"," "," "," "," "," ","line"," "," "," "
"Ruta de ferry","Ferry Route","route/ferry"," ","ferry","route=ferry"," "," "," "," "," ","line"," "," "," "
"Ruta de ferry","Ferry Route","type/route/ferry"," ","route-ferry","type=route","route=ferry"," "," "," "," "," "," "," ","relation"
"Vivienda aisllada","Isolated Dwelling","place/isolated_dwelling"," "," ","place=isolated_dwelling"," "," "," "," ","area"," ","point"," "," "
"Vivienda aisllada","Detached Home","building/detached"," ","building","building=detached"," "," "," "," ","area"," ","point"," "," "
