"presetFieldsKey","r","type","labelEn","labelTransl","icon","universal","keys","optionskey","valueEn","valueTransl","placeholderEn","placeholderTransl","endRec"
"access",1,"access","Access","Pristup"," "," ","access,foot,motor_vehicle,bicycle,horse"," "," "," ","Unknown","Nepoznato","last"
"access_simple",1,"combo","Access","Pristup"," "," ","access"," "," "," ","yes"," ","last"
"access_toilets",1,"combo","Access"," "," "," ","access"," "," "," "," "," ","last"
"address",1,"address","Address","Adresa","address",true,"addr:housename,addr:housenumber,addr:street,addr:city,addr:postcode"," "," "," "," "," ","last"
"admin_level",1,"number","Admin Level","Administrativni nivo"," "," ","admin_level"," "," "," "," "," ","last"
"aerialway",1,"typeCombo","Type","Vrsta"," "," ","aerialway"," "," "," "," "," ","last"
"aerialway/access",1,"combo","Access","Pristup"," "," ","aerialway:access","entry","Entry",," "," ","last"
"aerialway/access",2,"combo"," "," "," "," "," ","exit","Exit",," "," ","last"
"aerialway/access",3,"combo"," "," "," "," "," ","both","Both",," "," ","last"
"aerialway/bubble",1,"check","Bubble","Balon"," "," ","aerialway:bubble"," "," "," "," "," ","last"
"aerialway/capacity",1,"number","Capacity (per hour)","Kapacitet (po satu)"," "," ","aerialway:capacity"," "," "," ","500, 2500, 5000...","500, 2500, 5000...","last"
"aerialway/duration",1,"number","Duration (minutes)","Trajanje (u minutama)"," "," ","aerialway:duration"," "," "," ","1, 2, 3...","1, 2, 3...","last"
"aerialway/heating",1,"check","Heated","Zagrijano"," "," ","aerialway:heating"," "," "," "," "," ","last"
"aerialway/occupancy",1,"number","Occupancy","Zauzeće"," "," ","aerialway:occupancy"," "," "," ","2, 4, 8...","2, 4, 8...","last"
"aerialway/summer/access",1,"combo","Access (summer)","Pristup (ljeto)"," "," ","aerialway:summer:access","entry","Entry",," "," ","last"
"aerialway/summer/access",2,"combo"," "," "," "," "," ","exit","Exit",," "," ","last"
"aerialway/summer/access",3,"combo"," "," "," "," "," ","both","Both",," "," ","last"
"aeroway",1,"typeCombo","Type","Vrsta"," "," ","aeroway"," "," "," "," "," ","last"
"amenity",1,"typeCombo","Type","Vrsta"," "," ","amenity"," "," "," "," "," ","last"
"artist",1,"text","Artist","Javna umjetnost"," "," ","artist_name"," "," "," "," "," ","last"
"artwork_type",1,"combo","Type","Vrsta"," "," ","artwork_type"," "," "," "," "," ","last"
"atm",1,"check","ATM","Bankomat"," "," ","atm"," "," "," "," "," ","last"
"backrest",1,"check","Backrest","Naslon za leđa"," "," ","backrest"," "," "," "," "," ","last"
"barrier",1,"typeCombo","Type","Vrsta"," "," ","barrier"," "," "," "," "," ","last"
"bench",1,"check","Bench"," "," "," ","bench"," "," "," "," "," ","last"
"bicycle_parking",1,"combo","Type","Vrsta"," "," ","bicycle_parking"," "," "," "," "," ","last"
"boundary",1,"combo","Type","Vrsta"," "," ","boundary"," "," "," "," "," ","last"
"brand",1,"text","Brand"," "," "," ","brand"," "," "," "," "," ","last"
"building",1,"typeCombo","Building","Građevina"," "," ","building"," "," "," "," "," ","last"
"building_area",1,"defaultcheck","Building","Građevina"," "," ","building"," "," "," "," "," ","last"
"capacity",1,"number","Capacity","Kapacitet"," "," ","capacity"," "," "," ","50, 100, 200...","50, 100, 200...","last"
"cardinal_direction",1,"combo","Direction","Pravac"," "," ","direction","N","North",," "," ","last"
"cardinal_direction",2,"combo"," "," "," "," "," ","E","East",," "," ","last"
"cardinal_direction",3,"combo"," "," "," "," "," ","S","South",," "," ","last"
"cardinal_direction",4,"combo"," "," "," "," "," ","W","West",," "," ","last"
"cardinal_direction",5,"combo"," "," "," "," "," ","NE","Northeast",," "," ","last"
"cardinal_direction",6,"combo"," "," "," "," "," ","SE","Southeast",," "," ","last"
"cardinal_direction",7,"combo"," "," "," "," "," ","SW","Southwest",," "," ","last"
"cardinal_direction",8,"combo"," "," "," "," "," ","NW","Northwest",," "," ","last"
"cardinal_direction",9,"combo"," "," "," "," "," ","NNE","North-northeast",," "," ","last"
"cardinal_direction",10,"combo"," "," "," "," "," ","ENE","East-northeast",," "," ","last"
"cardinal_direction",11,"combo"," "," "," "," "," ","ESE","East-southeast",," "," ","last"
"cardinal_direction",12,"combo"," "," "," "," "," ","SSE","South-southeast",," "," ","last"
"cardinal_direction",13,"combo"," "," "," "," "," ","SSW","South-southwest",," "," ","last"
"cardinal_direction",14,"combo"," "," "," "," "," ","WSW","West-southwest",," "," ","last"
"cardinal_direction",15,"combo"," "," "," "," "," ","WNW","West-northwest",," "," ","last"
"cardinal_direction",16,"combo"," "," "," "," "," ","NNW","North-northwest",," "," ","last"
"clock_direction",1,"combo","Direction","Pravac"," "," ","direction","clockwise","Clockwise","U smjeru kazaljke na satu"," "," ","last"
"clock_direction",2,"combo"," "," "," "," "," ","anticlockwise","Counterclockwise","U smjeru suprotnom od kazaljke na satu"," "," ","last"
"collection_times",1,"text","Collection Times","Vremena skupljanja"," "," ","collection_times"," "," "," "," "," ","last"
"construction",1,"combo","Type","Vrsta"," "," ","construction"," "," "," "," "," ","last"
"country",1,"combo","Country","Zemlja"," "," ","country"," "," "," "," "," ","last"
"covered",1,"check","Covered","Pokriveno"," "," ","covered"," "," "," "," "," ","last"
"craft",1,"typeCombo","Type"," "," "," ","craft"," "," "," "," "," ","last"
"crop",1,"combo","Crop"," "," "," ","crop"," "," "," "," "," ","last"
"crossing",1,"combo","Type","Vrsta"," "," ","crossing"," "," "," "," "," ","last"
"cuisine",1,"combo","Cuisine","Kuhinja"," "," ","cuisine"," "," "," "," "," ","last"
"delivery",1,"check","Delivery"," "," "," ","delivery"," "," "," "," "," ","last"
"denomination",1,"combo","Denomination","Vjeroispovjest"," "," ","denomination"," "," "," "," "," ","last"
"denotation",1,"combo","Denotation","Označavanje"," "," ","denotation"," "," "," "," "," ","last"
"description",1,"textarea","Description","Opis"," "," ","description"," "," "," "," "," ","last"
"electrified",1,"combo","Electrification"," "," "," ","electrified","contact_line","Contact Line",,"Contact Line, Electrified Rail..."," ","last"
"electrified",2,"combo"," "," "," "," "," ","rail","Electrified Rail",," "," ","last"
"electrified",3,"combo"," "," "," "," "," ","yes","Yes (unspecified)",," "," ","last"
"electrified",4,"combo"," "," "," "," "," ","no","No",," "," ","last"
"elevation",1,"number","Elevation","Nadmorska visina","elevation",true,"ele"," "," "," "," "," ","last"
"emergency",1,"check","Emergency","Hitna"," "," ","emergency"," "," "," "," "," ","last"
"entrance",1,"typeCombo","Type","Vrsta"," "," ","entrance"," "," "," "," "," ","last"
"except",1,"combo","Exceptions"," "," "," ","except"," "," "," "," "," ","last"
"fax",1,"tel","Fax","Faks"," "," ","fax"," "," "," ","+31 42 123 4567","+31 42 123 4567","last"
"fee",1,"check","Fee","Provizija"," "," ","fee"," "," "," "," "," ","last"
"fire_hydrant/type",1,"combo","Type","Vrsta"," "," ","fire_hydrant:type","pillar","Pillar/Aboveground",," "," ","last"
"fire_hydrant/type",2,"combo"," "," "," "," "," ","underground","Underground",," "," ","last"
"fire_hydrant/type",3,"combo"," "," "," "," "," ","wall","Wall",," "," ","last"
"fire_hydrant/type",4,"combo"," "," "," "," "," ","pond","Pond",," "," ","last"
"fixme",1,"textarea","Fix Me","Popravi me"," "," ","fixme"," "," "," "," "," ","last"
"fuel",1,"combo","Fuel"," "," "," ","fuel"," "," "," "," "," ","last"
"fuel/biodiesel",1,"check","Sells Biodiesel"," "," "," ","fuel:biodiesel"," "," "," "," "," ","last"
"fuel/diesel",1,"check","Sells Diesel"," "," "," ","fuel:diesel"," "," "," "," "," ","last"
"fuel/e10",1,"check","Sells E10"," "," "," ","fuel:e10"," "," "," "," "," ","last"
"fuel/e85",1,"check","Sells E85"," "," "," ","fuel:e85"," "," "," "," "," ","last"
"fuel/lpg",1,"check","Sells Propane"," "," "," ","fuel:lpg"," "," "," "," "," ","last"
"fuel/octane_100",1,"check","Sells Racing Gasoline"," "," "," ","fuel:octane_100"," "," "," "," "," ","last"
"fuel/octane_91",1,"check","Sells Regular Gasoline"," "," "," ","fuel:octane_91"," "," "," "," "," ","last"
"fuel/octane_95",1,"check","Sells Midgrade Gasoline"," "," "," ","fuel:octane_95"," "," "," "," "," ","last"
"fuel/octane_98",1,"check","Sells Premium Gasoline"," "," "," ","fuel:octane_98"," "," "," "," "," ","last"
"gauge",1,"combo","Gauge"," "," "," ","gauge"," "," "," "," "," ","last"
"generator/method",1,"combo","Method","Način"," "," ","generator:method"," "," "," "," "," ","last"
"generator/source",1,"combo","Source","Izvor"," "," ","generator:source"," "," "," "," "," ","last"
"generator/type",1,"combo","Type","Vrsta"," "," ","generator:type"," "," "," "," "," ","last"
"golf_hole",1,"text","Reference","Referenca"," "," ","ref"," "," "," ","Hole number (1-18)","Rupa broj (1-18)","last"
"handicap",1,"number","Handicap","Hendikep"," "," ","handicap"," "," "," ","1-18","1-18","last"
"highway",1,"typeCombo","Type","Vrsta"," "," ","highway"," "," "," "," "," ","last"
"historic",1,"typeCombo","Type","Vrsta"," "," ","historic"," "," "," "," "," ","last"
"hoops",1,"number","Hoops"," "," "," ","hoops"," "," "," ","1, 2, 4..."," ","last"
"iata",1,"text","IATA","IATA"," "," ","iata"," "," "," "," "," ","last"
"icao",1,"text","ICAO","ICAO"," "," ","icao"," "," "," "," "," ","last"
"incline",1,"combo","Incline","Nagib"," "," ","incline"," "," "," "," "," ","last"
"information",1,"typeCombo","Type","Vrsta"," "," ","information"," "," "," "," "," ","last"
"internet_access",1,"combo","Internet Access","Internet pristup"," "," ","internet_access","wlan","Yes","WiFi"," "," ","last"
"internet_access",2,"combo"," "," "," "," "," ","wired","No","Kablovski"," "," ","last"
