"presetKey","presetKey0","presetKey1","presetKey2","keyName","nameEn","nameTransl","nameTranslLength","nameTranslWarnings","duplicateTranslation","notTranslatedName","termsEn","termsTransl","termsTranslLength","termsTranslWarnings","icon","suggestion","fields","searchable","matchScore","tags0","tags1","tags2","tags3","tags4","tagsLength","addTags0","addTags1","addTags2","addTags3","addTags4","addTagsLength","removeTags0","removeTags1","removeTags2","removeTags3","removeTags4","removeTagsLength","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation","endRec"
"address","address"," "," ","Address","Address","Adresa",6," "," "," ","","adresa,PSČ,ulice",16," "," "," ","address"," ",0.2,"addr:housenumber=*"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point"," "," ","last"
"aerialway","aerialway"," "," ","Aerialway","Aerialway","Lanovka/vlek",12," "," "," ","ski lift,funifor,funitel","lanovka,vlek,lanová dráha,sedačková lanovka,kabinková lanovka,kabinová lanovka,pozemní lanovka,lyžařský vlek,výtah,ozubnicová dráha",131," "," "," ","aerialway"," "," ","aerialway=*"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line","point","vertex"," ","last"
"aerialway/cable_car","aerialway","cable_car"," ","Cable Car","Cable Car","Kabinová lanovka",16," "," "," ","tramway,ropeway","kabinková lanovka,kabinová lanovka,kabinková lanová dráha,kabinová lanová dráha",79," "," "," ","aerialway/occupancy,aerialway/capacity,aerialway/duration,aerialway/heating"," "," ","aerialway=cable_car"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/chair_lift","aerialway","chair_lift"," ","Chair Lift","Chair Lift","Sedačková lanovka",17," "," "," ","","sedačková lanovka,sedačková lanová dráha,lyžařská lanovka,visutý vlek",69," "," "," ","aerialway/occupancy,aerialway/capacity,aerialway/duration,aerialway/bubble,aerialway/heating"," "," ","aerialway=chair_lift"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/gondola","aerialway","gondola"," ","Gondola","Gondola","Kabinková lanovka",17," "," "," ","","gondola,gondolová lanovka,kabinková lanovka,kabinová lanovka,kabinová lanová dráha,kabinková lanová dráha",105," "," "," ","aerialway/occupancy,aerialway/capacity,aerialway/duration,aerialway/bubble,aerialway/heating"," "," ","aerialway=gondola"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/magic_carpet","aerialway","magic_carpet"," ","Magic Carpet Lift","Magic Carpet Lift","Pojízdný koberec",16," "," "," ","","pojízdný koberec,pásový dopravník,lyžařský vlek,vlek,lanovka na pásu,pohybivý pás,eskalátor",91," "," "," ","aerialway/capacity,aerialway/duration,aerialway/heating"," "," ","aerialway=magic_carpet"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/platter","aerialway","platter"," ","Platter Lift","Platter Lift","Vlek - talíř (poma)",19," "," "," ","button lift,poma lift","talířový vlek,talířový teleskopický vlek,poma,lyžařský vlek",59," "," "," ","aerialway/capacity,aerialway/duration"," "," ","aerialway=platter"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/pylon","aerialway","pylon"," ","Aerialway Pylon","Aerialway Pylon","Sloup",5," "," "," ","","sloup lanovky,stožár lanovky",28," "," "," ","ref"," "," ","aerialway=pylon"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"aerialway/rope_tow","aerialway","rope_tow"," ","Rope Tow Lift","Rope Tow Lift","Vlek - kotvičkový",17," "," "," ","handle tow,bugel lift","lyžařský vlek,vlek,kotvička,lanový vlek",39," "," "," ","aerialway/capacity,aerialway/duration"," "," ","aerialway=rope_tow"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/station","aerialway","station"," ","Aerialway Station","Aerialway Station","Stanice lanovky",15," "," "," ","","stanice lanovky,stanice lanové dráhy,zastávka lanovky,zastávka lanové dráhy",75," "," "," ","aerialway/access,aerialway/summer/access,elevation"," "," ","aerialway=station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
