"presetFieldsKey","r","type","labelEn","labelTransl","icon","universal","keys","optionskey","valueEn","valueTransl","placeholderEn","placeholderTransl","endRec"
"access",1,"access","Access","Access"," "," ","access,foot,motor_vehicle,bicycle,horse"," "," "," ","Unknown","Unknown","last"
"access_simple",1,"combo","Access","Access"," "," ","access"," "," "," ","yes","yes","last"
"access_toilets",1,"combo","Access","Access"," "," ","access"," "," "," "," "," ","last"
"address",1,"address","Address","Address","address",true,"addr:housename,addr:housenumber,addr:street,addr:city,addr:postcode"," "," "," "," "," ","last"
"admin_level",1,"number","Admin Level","Admin Level"," "," ","admin_level"," "," "," "," "," ","last"
"aerialway",1,"typeCombo","Type","Type"," "," ","aerialway"," "," "," "," "," ","last"
"aerialway/access",1,"combo","Access","Access"," "," ","aerialway:access","entry","Entry","Entry"," "," ","last"
"aerialway/access",2,"combo"," "," "," "," "," ","exit","Exit","Exit"," "," ","last"
"aerialway/access",3,"combo"," "," "," "," "," ","both","Both","Both"," "," ","last"
"aerialway/bubble",1,"check","Bubble","Bubble"," "," ","aerialway:bubble"," "," "," "," "," ","last"
"aerialway/capacity",1,"number","Capacity (per hour)","Capacity (per hour)"," "," ","aerialway:capacity"," "," "," ","500, 2500, 5000...","500, 2500, 5000...","last"
"aerialway/duration",1,"number","Duration (minutes)","Duration (minutes)"," "," ","aerialway:duration"," "," "," ","1, 2, 3...","1, 2, 3...","last"
"aerialway/heating",1,"check","Heated","Heated"," "," ","aerialway:heating"," "," "," "," "," ","last"
"aerialway/occupancy",1,"number","Occupancy","Occupancy"," "," ","aerialway:occupancy"," "," "," ","2, 4, 8...","2, 4, 8...","last"
"aerialway/summer/access",1,"combo","Access (summer)","Access (summer)"," "," ","aerialway:summer:access","entry","Entry","Entry"," "," ","last"
"aerialway/summer/access",2,"combo"," "," "," "," "," ","exit","Exit","Exit"," "," ","last"
"aerialway/summer/access",3,"combo"," "," "," "," "," ","both","Both","Both"," "," ","last"
"aeroway",1,"typeCombo","Type","Type"," "," ","aeroway"," "," "," "," "," ","last"
"amenity",1,"typeCombo","Type","Type"," "," ","amenity"," "," "," "," "," ","last"
"artist",1,"text","Artist","Artist"," "," ","artist_name"," "," "," "," "," ","last"
"artwork_type",1,"combo","Type","Type"," "," ","artwork_type"," "," "," "," "," ","last"
"atm",1,"check","ATM","ATM"," "," ","atm"," "," "," "," "," ","last"
"backrest",1,"check","Backrest","Backrest"," "," ","backrest"," "," "," "," "," ","last"
"barrier",1,"typeCombo","Type","Type"," "," ","barrier"," "," "," "," "," ","last"
"bench",1,"check","Bench","Bench"," "," ","bench"," "," "," "," "," ","last"
"bicycle_parking",1,"combo","Type","Type"," "," ","bicycle_parking"," "," "," "," "," ","last"
"boundary",1,"combo","Type","Type"," "," ","boundary"," "," "," "," "," ","last"
"brand",1,"text","Brand","Brand"," "," ","brand"," "," "," "," "," ","last"
"building",1,"typeCombo","Building","Building"," "," ","building"," "," "," "," "," ","last"
"building_area",1,"defaultcheck","Building","Building"," "," ","building"," "," "," "," "," ","last"
"capacity",1,"number","Capacity","Capacity"," "," ","capacity"," "," "," ","50, 100, 200...","50, 100, 200...","last"
"cardinal_direction",1,"combo","Direction","Direction"," "," ","direction","N","North","North"," "," ","last"
"cardinal_direction",2,"combo"," "," "," "," "," ","E","East","East"," "," ","last"
"cardinal_direction",3,"combo"," "," "," "," "," ","S","South","South"," "," ","last"
"cardinal_direction",4,"combo"," "," "," "," "," ","W","West","West"," "," ","last"
"cardinal_direction",5,"combo"," "," "," "," "," ","NE","Northeast","Northeast"," "," ","last"
"cardinal_direction",6,"combo"," "," "," "," "," ","SE","Southeast","Southeast"," "," ","last"
"cardinal_direction",7,"combo"," "," "," "," "," ","SW","Southwest","Southwest"," "," ","last"
"cardinal_direction",8,"combo"," "," "," "," "," ","NW","Northwest","Northwest"," "," ","last"
"cardinal_direction",9,"combo"," "," "," "," "," ","NNE","North-northeast","North-northeast"," "," ","last"
