"nameTransl","nameEn","presetKey","searchable","icon","tags0","tags1","tags2","tags3","tags4","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation"
"Artesanía","Handicraft","craft/handicraft"," ","art-gallery","craft=handicraft"," "," "," "," ","area"," ","point"," "," "
"Artesanía","Craft","craft"," ","marker-stroked","craft=*"," "," "," "," ","area"," ","point"," "," "
"Banco","Bank","amenity/bank"," ","bank","amenity=bank"," "," "," "," ","area"," ","point"," "," "
"Banco","Bench","amenity/bench"," "," ","amenity=bench"," "," "," "," "," ","line","point","vertex"," "
"Canal","Canal","waterway/canal"," ","waterway-canal","waterway=canal"," "," "," "," "," ","line"," "," "," "
"Canal","Fairway","golf/fairway"," ","golf","golf=fairway","landuse=grass"," "," "," ","area"," "," "," "," "
"Confitería","Confectionery","craft/confectionery"," ","bakery","craft=confectionery"," "," "," "," ","area"," ","point"," "," "
"Confitería","Candy Store","shop/confectionery"," ","shop","shop=confectionery"," "," "," "," ","area"," ","point"," "," "
"Garajes","Garages","building/garages"," ","warehouse","building=garages"," "," "," "," ","area"," ","point"," "," "
"Garajes","Garages","landuse/garages"," "," ","landuse=garages"," "," "," "," ","area"," "," "," "," "
"Lugar de culto","Place of Worship","amenity/place_of_worship"," ","place-of-worship","amenity=place_of_worship"," "," "," "," ","area"," ","point"," "," "
"Lugar de culto","Church","amenity/place_of_worship/christian"," ","religious-christian","amenity=place_of_worship","religion=christian"," "," "," ","area"," ","point"," "," "
"Paso de peatones","Crossing","footway/crossing"," "," ","highway=footway","footway=crossing"," "," "," "," ","line"," "," "," "
"Paso de peatones","Crossing","highway/crossing"," "," ","highway=crossing"," "," "," "," "," "," "," ","vertex"," "
"Paso de peatones","Crosswalk","highway/crosswalk"," "," ","highway=crossing","crossing=zebra"," "," "," "," "," "," ","vertex"," "
"Paso de peatones","Crosswalk","footway/crosswalk"," "," ","highway=footway","footway=crossing","crossing=zebra"," "," "," ","line"," "," "," "
"Pueblo","Town","place/town"," ","town","place=town"," "," "," "," ","area"," ","point"," "," "
"Pueblo","Village","place/village"," ","village","place=village"," "," "," "," ","area"," ","point"," "," "
"Relojero","Watchmaker","craft/watchmaker"," ","circle-stroked","craft=watchmaker"," "," "," "," ","area"," ","point"," "," "
"Relojero","Clockmaker","craft/clockmaker"," ","circle-stroked","craft=clockmaker"," "," "," "," ","area"," ","point"," "," "
"Ruta de ferry","Ferry Route","route/ferry"," ","ferry","route=ferry"," "," "," "," "," ","line"," "," "," "
"Ruta de ferry","Ferry Route","type/route/ferry"," ","route-ferry","type=route","route=ferry"," "," "," "," "," "," "," ","relation"
"Área Comercial","Commercial Area","landuse/commercial"," ","commercial","landuse=commercial"," "," "," "," ","area"," "," "," "," "
"Área Comercial","Retail Area","landuse/retail"," ","shop","landuse=retail"," "," "," "," ","area"," "," "," "," "
