"presetFieldsKey","r","type","labelEn","labelTransl","icon","universal","keys","optionskey","valueEn","valueTransl","placeholderEn","placeholderTransl","endRec"
"access",1,"access","Access","Pristup"," "," ","access,foot,motor_vehicle,bicycle,horse"," "," "," ","Unknown","Nepoznat","last"
"access_simple",1,"combo","Access","Pristup"," "," ","access"," "," "," ","yes","da","last"
"access_toilets",1,"combo","Access","Pristup"," "," ","access"," "," "," "," "," ","last"
"address",1,"address","Address","Adresa","address",true,"addr:housename,addr:housenumber,addr:street,addr:city,addr:postcode"," "," "," "," "," ","last"
"admin_level",1,"number","Admin Level","Administrativno područje"," "," ","admin_level"," "," "," "," "," ","last"
"aerialway",1,"typeCombo","Type","Tip"," "," ","aerialway"," "," "," "," "," ","last"
"aerialway/access",1,"combo","Access","Pristup"," "," ","aerialway:access","entry","Entry","Ulaz"," "," ","last"
"aerialway/access",2,"combo"," "," "," "," "," ","exit","Exit","Izlaz"," "," ","last"
"aerialway/access",3,"combo"," "," "," "," "," ","both","Both","Oba"," "," ","last"
"aerialway/bubble",1,"check","Bubble","Balon"," "," ","aerialway:bubble"," "," "," "," "," ","last"
"aerialway/capacity",1,"number","Capacity (per hour)","Kapacitet (po satu)"," "," ","aerialway:capacity"," "," "," ","500, 2500, 5000...","500, 2500, 5000...","last"
"aerialway/duration",1,"number","Duration (minutes)","Trajanje (u minutama)"," "," ","aerialway:duration"," "," "," ","1, 2, 3...","1, 2, 3...","last"
"aerialway/heating",1,"check","Heated","Grijano"," "," ","aerialway:heating"," "," "," "," "," ","last"
"aerialway/occupancy",1,"number","Occupancy","Broj ljudi"," "," ","aerialway:occupancy"," "," "," ","2, 4, 8...","2, 4, 8...","last"
"aerialway/summer/access",1,"combo","Access (summer)","Pristup (ljeto)"," "," ","aerialway:summer:access","entry","Entry","Ulaz"," "," ","last"
"aerialway/summer/access",2,"combo"," "," "," "," "," ","exit","Exit","Izlaz"," "," ","last"
"aerialway/summer/access",3,"combo"," "," "," "," "," ","both","Both","Oba"," "," ","last"
"aeroway",1,"typeCombo","Type","Vrsta"," "," ","aeroway"," "," "," "," "," ","last"
"amenity",1,"typeCombo","Type","Vrsta"," "," ","amenity"," "," "," "," "," ","last"
"artist",1,"text","Artist","Umjetnik"," "," ","artist_name"," "," "," "," "," ","last"
"artwork_type",1,"combo","Type","Vrsta"," "," ","artwork_type"," "," "," "," "," ","last"
"atm",1,"check","ATM","Bankomat"," "," ","atm"," "," "," "," "," ","last"
"backrest",1,"check","Backrest","Naslon"," "," ","backrest"," "," "," "," "," ","last"
"barrier",1,"typeCombo","Type","Vrsta"," "," ","barrier"," "," "," "," "," ","last"
"bench",1,"check","Bench","Klupa"," "," ","bench"," "," "," "," "," ","last"
"bicycle_parking",1,"combo","Type","Vrsta"," "," ","bicycle_parking"," "," "," "," "," ","last"
"boundary",1,"combo","Type","Vrsta"," "," ","boundary"," "," "," "," "," ","last"
"brand",1,"text","Brand"," "," "," ","brand"," "," "," "," "," ","last"
"building",1,"typeCombo","Building","Zgrada"," "," ","building"," "," "," "," "," ","last"
"building_area",1,"defaultcheck","Building","Zgrada"," "," ","building"," "," "," "," "," ","last"
"capacity",1,"number","Capacity","Kapacitet"," "," ","capacity"," "," "," ","50, 100, 200...","50, 100, 200...","last"
"cardinal_direction",1,"combo","Direction","Smijer"," "," ","direction","N","North","Sjever"," "," ","last"
"cardinal_direction",2,"combo"," "," "," "," "," ","E","East","Istok"," "," ","last"
"cardinal_direction",3,"combo"," "," "," "," "," ","S","South","Jug"," "," ","last"
"cardinal_direction",4,"combo"," "," "," "," "," ","W","West","Zapad"," "," ","last"
"cardinal_direction",5,"combo"," "," "," "," "," ","NE","Northeast","Sjeveroistok"," "," ","last"
"cardinal_direction",6,"combo"," "," "," "," "," ","SE","Southeast","Jugoistok"," "," ","last"
"cardinal_direction",7,"combo"," "," "," "," "," ","SW","Southwest","Jugozapad"," "," ","last"
"cardinal_direction",8,"combo"," "," "," "," "," ","NW","Northwest","Sjeverozapad"," "," ","last"
"cardinal_direction",9,"combo"," "," "," "," "," ","NNE","North-northeast","Sjever-sjeveroistok"," "," ","last"
"cardinal_direction",10,"combo"," "," "," "," "," ","ENE","East-northeast","Istok-sjeveroistok"," "," ","last"
"cardinal_direction",11,"combo"," "," "," "," "," ","ESE","East-southeast","Istok-jugoistok"," "," ","last"
"cardinal_direction",12,"combo"," "," "," "," "," ","SSE","South-southeast","Jug-jugoistok"," "," ","last"
"cardinal_direction",13,"combo"," "," "," "," "," ","SSW","South-southwest","Jug-jugozapad"," "," ","last"
"cardinal_direction",14,"combo"," "," "," "," "," ","WSW","West-southwest","Zapad-jugozapad"," "," ","last"
"cardinal_direction",15,"combo"," "," "," "," "," ","WNW","West-northwest","Zapad-sjeverozapad"," "," ","last"
"cardinal_direction",16,"combo"," "," "," "," "," ","NNW","North-northwest","Sjever-sjeverozapad"," "," ","last"
"clock_direction",1,"combo","Direction","Smjer"," "," ","direction","clockwise","Clockwise","U smijeru kazaljke za satu"," "," ","last"
"clock_direction",2,"combo"," "," "," "," "," ","anticlockwise","Counterclockwise","U suprotnom smijeru od kazaljke na satu"," "," ","last"
"collection_times",1,"text","Collection Times","Vrijeme preuzimanja"," "," ","collection_times"," "," "," "," "," ","last"
"construction",1,"combo","Type","Vrsta"," "," ","construction"," "," "," "," "," ","last"
"country",1,"combo","Country","Država"," "," ","country"," "," "," "," "," ","last"
"covered",1,"check","Covered","Pokriven"," "," ","covered"," "," "," "," "," ","last"
"craft",1,"typeCombo","Type","Vrsta"," "," ","craft"," "," "," "," "," ","last"
"crop",1,"combo","Crop","Usjev"," "," ","crop"," "," "," "," "," ","last"
"crossing",1,"combo","Type","Vrsta"," "," ","crossing"," "," "," "," "," ","last"
"cuisine",1,"combo","Cuisine","Kuhinja"," "," ","cuisine"," "," "," "," "," ","last"
"delivery",1,"check","Delivery","Dostava"," "," ","delivery"," "," "," "," "," ","last"
"denomination",1,"combo","Denomination","Vjeroispovijed"," "," ","denomination"," "," "," "," "," ","last"
"denotation",1,"combo","Denotation","Obilježavanje"," "," ","denotation"," "," "," "," "," ","last"
"description",1,"textarea","Description","Opis"," "," ","description"," "," "," "," "," ","last"
"electrified",1,"combo","Electrification","Elektrifikacija"," "," ","electrified","contact_line","Contact Line","Dodirna crta","Contact Line, Electrified Rail...","Dodirna crta, elektrificirana željeznica","last"
"electrified",2,"combo"," "," "," "," "," ","rail","Electrified Rail","Elektrificirana željeznica"," "," ","last"
"electrified",3,"combo"," "," "," "," "," ","yes","Yes (unspecified)","Da (nedefinirano)"," "," ","last"
"electrified",4,"combo"," "," "," "," "," ","no","No","Ne"," "," ","last"
"elevation",1,"number","Elevation","Nadmorska visina","elevation",true,"ele"," "," "," "," "," ","last"
"emergency",1,"check","Emergency","Hitna pomoć"," "," ","emergency"," "," "," "," "," ","last"
"entrance",1,"typeCombo","Type","Vrsta"," "," ","entrance"," "," "," "," "," ","last"
"except",1,"combo","Exceptions","Iznimke"," "," ","except"," "," "," "," "," ","last"
"fax",1,"tel","Fax","Fax"," "," ","fax"," "," "," ","+31 42 123 4567","+385 (0)1 123 4567","last"
"fee",1,"check","Fee","Plaćanje"," "," ","fee"," "," "," "," "," ","last"
"fire_hydrant/type",1,"combo","Type","Vrsta"," "," ","fire_hydrant:type","pillar","Pillar/Aboveground","Stub/nadzemni"," "," ","last"
"fire_hydrant/type",2,"combo"," "," "," "," "," ","underground","Underground","Podzemni"," "," ","last"
"fire_hydrant/type",3,"combo"," "," "," "," "," ","wall","Wall","Zid"," "," ","last"
"fire_hydrant/type",4,"combo"," "," "," "," "," ","pond","Pond","Jezerce"," "," ","last"
"fixme",1,"textarea","Fix Me","Popravi me"," "," ","fixme"," "," "," "," "," ","last"
"fuel",1,"combo","Fuel","Gorivo"," "," ","fuel"," "," "," "," "," ","last"
"fuel/biodiesel",1,"check","Sells Biodiesel","Prodaje biodizel"," "," ","fuel:biodiesel"," "," "," "," "," ","last"
"fuel/diesel",1,"check","Sells Diesel","Prodaje dizel"," "," ","fuel:diesel"," "," "," "," "," ","last"
"fuel/e10",1,"check","Sells E10","Prodaje Super E10"," "," ","fuel:e10"," "," "," "," "," ","last"
"fuel/e85",1,"check","Sells E85","Prodaje bioetanol E85"," "," ","fuel:e85"," "," "," "," "," ","last"
"fuel/lpg",1,"check","Sells Propane","Prodaje auto-plin LPG"," "," ","fuel:lpg"," "," "," "," "," ","last"
"fuel/octane_100",1,"check","Sells Racing Gasoline","Prodaje benzin za utrke"," "," ","fuel:octane_100"," "," "," "," "," ","last"
