"presetFieldsKey","r","type","labelEn","labelTransl","icon","universal","keys","optionskey","valueEn","valueTransl","placeholderEn","placeholderTransl","endRec"
"access",1,"access","Access","Akses"," "," ","access,foot,motor_vehicle,bicycle,horse"," "," "," ","Unknown","Tidak diketahui","last"
"access_simple",1,"combo","Access","Akses"," "," ","access"," "," "," ","yes","iya","last"
"access_toilets",1,"combo","Access","Akses"," "," ","access"," "," "," "," "," ","last"
"address",1,"address","Address","Alamat","address",true,"addr:housename,addr:housenumber,addr:street,addr:city,addr:postcode"," "," "," "," "," ","last"
"admin_level",1,"number","Admin Level","Tingkat Admin"," "," ","admin_level"," "," "," "," "," ","last"
"aerialway",1,"typeCombo","Type","Tipe"," "," ","aerialway"," "," "," "," "," ","last"
"aerialway/access",1,"combo","Access","Akses"," "," ","aerialway:access","entry","Entry","Masuk"," "," ","last"
"aerialway/access",2,"combo"," "," "," "," "," ","exit","Exit","Keluar"," "," ","last"
"aerialway/access",3,"combo"," "," "," "," "," ","both","Both","Keduanya"," "," ","last"
"aerialway/bubble",1,"check","Bubble"," "," "," ","aerialway:bubble"," "," "," "," "," ","last"
"aerialway/capacity",1,"number","Capacity (per hour)","Kapasitas (perjam)"," "," ","aerialway:capacity"," "," "," ","500, 2500, 5000...","500, 2500, 5000...","last"
"aerialway/duration",1,"number","Duration (minutes)","Durasi (menit)"," "," ","aerialway:duration"," "," "," ","1, 2, 3...","1, 2, 3...","last"
"aerialway/heating",1,"check","Heated","Dipanaskan"," "," ","aerialway:heating"," "," "," "," "," ","last"
"aerialway/occupancy",1,"number","Occupancy","Hunian"," "," ","aerialway:occupancy"," "," "," ","2, 4, 8...","2, 4, 8...","last"
"aerialway/summer/access",1,"combo","Access (summer)"," "," "," ","aerialway:summer:access","entry","Entry","Masuk"," "," ","last"
"aerialway/summer/access",2,"combo"," "," "," "," "," ","exit","Exit","Keluar"," "," ","last"
"aerialway/summer/access",3,"combo"," "," "," "," "," ","both","Both","Keduanya"," "," ","last"
"aeroway",1,"typeCombo","Type","Tipe"," "," ","aeroway"," "," "," "," "," ","last"
"amenity",1,"typeCombo","Type","Tipe"," "," ","amenity"," "," "," "," "," ","last"
"artist",1,"text","Artist"," "," "," ","artist_name"," "," "," "," "," ","last"
"artwork_type",1,"combo","Type","Tipe"," "," ","artwork_type"," "," "," "," "," ","last"
"atm",1,"check","ATM","ATM"," "," ","atm"," "," "," "," "," ","last"
"backrest",1,"check","Backrest"," "," "," ","backrest"," "," "," "," "," ","last"
"barrier",1,"typeCombo","Type","Tipe"," "," ","barrier"," "," "," "," "," ","last"
"bench",1,"check","Bench"," "," "," ","bench"," "," "," "," "," ","last"
"bicycle_parking",1,"combo","Type","Tipe"," "," ","bicycle_parking"," "," "," "," "," ","last"
"boundary",1,"combo","Type","Tipe"," "," ","boundary"," "," "," "," "," ","last"
"brand",1,"text","Brand"," "," "," ","brand"," "," "," "," "," ","last"
"building",1,"typeCombo","Building","Bangunan"," "," ","building"," "," "," "," "," ","last"
"building_area",1,"defaultcheck","Building","Bangunan"," "," ","building"," "," "," "," "," ","last"
"capacity",1,"number","Capacity","Kapasitas"," "," ","capacity"," "," "," ","50, 100, 200...","50, 100, 200...","last"
"cardinal_direction",1,"combo","Direction","Arah"," "," ","direction","N","North","Utara"," "," ","last"
"cardinal_direction",2,"combo"," "," "," "," "," ","E","East","Timur"," "," ","last"
"cardinal_direction",3,"combo"," "," "," "," "," ","S","South","Selatan"," "," ","last"
"cardinal_direction",4,"combo"," "," "," "," "," ","W","West","Barat"," "," ","last"
"cardinal_direction",5,"combo"," "," "," "," "," ","NE","Northeast","Timur Laut"," "," ","last"
"cardinal_direction",6,"combo"," "," "," "," "," ","SE","Southeast","Tenggara"," "," ","last"
"cardinal_direction",7,"combo"," "," "," "," "," ","SW","Southwest","Barat Daya"," "," ","last"
"cardinal_direction",8,"combo"," "," "," "," "," ","NW","Northwest","Barat Laut"," "," ","last"
"cardinal_direction",9,"combo"," "," "," "," "," ","NNE","North-northeast","Utara-timur laut"," "," ","last"
"cardinal_direction",10,"combo"," "," "," "," "," ","ENE","East-northeast","Timur-timur laut"," "," ","last"
"cardinal_direction",11,"combo"," "," "," "," "," ","ESE","East-southeast","Timur-tenggara"," "," ","last"
"cardinal_direction",12,"combo"," "," "," "," "," ","SSE","South-southeast","Selatan-tenggara"," "," ","last"
"cardinal_direction",13,"combo"," "," "," "," "," ","SSW","South-southwest","Selatan-barat daya"," "," ","last"
"cardinal_direction",14,"combo"," "," "," "," "," ","WSW","West-southwest","Barat-barat daya"," "," ","last"
"cardinal_direction",15,"combo"," "," "," "," "," ","WNW","West-northwest","Barat-barat laut"," "," ","last"
"cardinal_direction",16,"combo"," "," "," "," "," ","NNW","North-northwest","Timur-barat laut"," "," ","last"
"clock_direction",1,"combo","Direction","Arah"," "," ","direction","clockwise","Clockwise","Searah Jarum Jam"," "," ","last"
"clock_direction",2,"combo"," "," "," "," "," ","anticlockwise","Counterclockwise","Berlawanan Jarum Jam"," "," ","last"
"collection_times",1,"text","Collection Times","Waktu Pengumpulan"," "," ","collection_times"," "," "," "," "," ","last"
"construction",1,"combo","Type","Tipe"," "," ","construction"," "," "," "," "," ","last"
"country",1,"combo","Country","Negara"," "," ","country"," "," "," "," "," ","last"
"covered",1,"check","Covered","Terlindungi"," "," ","covered"," "," "," "," "," ","last"
"craft",1,"typeCombo","Type","Tipe"," "," ","craft"," "," "," "," "," ","last"
"crop",1,"combo","Crop","Tanaman"," "," ","crop"," "," "," "," "," ","last"
"crossing",1,"combo","Type","Tipe"," "," ","crossing"," "," "," "," "," ","last"
"cuisine",1,"combo","Cuisine","Masakan"," "," ","cuisine"," "," "," "," "," ","last"
"delivery",1,"check","Delivery"," "," "," ","delivery"," "," "," "," "," ","last"
"denomination",1,"combo","Denomination","Satuan"," "," ","denomination"," "," "," "," "," ","last"
"denotation",1,"combo","Denotation","Penunjuk"," "," ","denotation"," "," "," "," "," ","last"
"description",1,"textarea","Description","Deskripsi"," "," ","description"," "," "," "," "," ","last"
"electrified",1,"combo","Electrification"," "," "," ","electrified","no","Contact Line","Tidak","Contact Line, Electrified Rail..."," ","last"
"electrified",2,"combo"," "," "," "," "," ","rail","Electrified Rail",," "," ","last"
"electrified",3,"combo"," "," "," "," "," ","yes","Yes (unspecified)",," "," ","last"
"electrified",4,"combo"," "," "," "," "," ","no","No",," "," ","last"
"elevation",1,"number","Elevation","Ketinggian","elevation",true,"ele"," "," "," "," "," ","last"
"emergency",1,"check","Emergency","Darurat"," "," ","emergency"," "," "," "," "," ","last"
"entrance",1,"typeCombo","Type","Tipe"," "," ","entrance"," "," "," "," "," ","last"
"except",1,"combo","Exceptions","Pengecualian"," "," ","except"," "," "," "," "," ","last"
"fax",1,"tel","Fax","Faks"," "," ","fax"," "," "," ","+31 42 123 4567","+31 42 123 4567","last"
"fee",1,"check","Fee","Biaya"," "," ","fee"," "," "," "," "," ","last"
"fire_hydrant/type",1,"combo","Type","Tipe"," "," ","fire_hydrant:type","underground","Pillar/Aboveground","Dibawah tanah"," "," ","last"
"fire_hydrant/type",2,"combo"," "," "," "," "," ","wall","Underground","Tembok"," "," ","last"
"fire_hydrant/type",3,"combo"," "," "," "," "," ","pond","Wall","Kolam"," "," ","last"
"fire_hydrant/type",4,"combo"," "," "," "," "," ","pond","Pond",," "," ","last"
"fixme",1,"textarea","Fix Me","Perbaiki Saya"," "," ","fixme"," "," "," "," "," ","last"
"fuel",1,"combo","Fuel"," "," "," ","fuel"," "," "," "," "," ","last"
"fuel/biodiesel",1,"check","Sells Biodiesel","Menjual Biodiesel"," "," ","fuel:biodiesel"," "," "," "," "," ","last"
"fuel/diesel",1,"check","Sells Diesel","Menjual Diesel"," "," ","fuel:diesel"," "," "," "," "," ","last"
"fuel/e10",1,"check","Sells E10","Menjual E10"," "," ","fuel:e10"," "," "," "," "," ","last"
"fuel/e85",1,"check","Sells E85","Menjual E85"," "," ","fuel:e85"," "," "," "," "," ","last"
"fuel/lpg",1,"check","Sells Propane","Menjual Propana"," "," ","fuel:lpg"," "," "," "," "," ","last"
"fuel/octane_100",1,"check","Sells Racing Gasoline"," "," "," ","fuel:octane_100"," "," "," "," "," ","last"
"fuel/octane_91",1,"check","Sells Regular Gasoline"," "," "," ","fuel:octane_91"," "," "," "," "," ","last"
"fuel/octane_95",1,"check","Sells Midgrade Gasoline"," "," "," ","fuel:octane_95"," "," "," "," "," ","last"
"fuel/octane_98",1,"check","Sells Premium Gasoline"," "," "," ","fuel:octane_98"," "," "," "," "," ","last"
"gauge",1,"combo","Gauge"," "," "," ","gauge"," "," "," "," "," ","last"
"generator/method",1,"combo","Method","Metode"," "," ","generator:method"," "," "," "," "," ","last"
"generator/source",1,"combo","Source","Sumber"," "," ","generator:source"," "," "," "," "," ","last"
"generator/type",1,"combo","Type","Tipe"," "," ","generator:type"," "," "," "," "," ","last"
"golf_hole",1,"text","Reference","Referensi"," "," ","ref"," "," "," ","Hole number (1-18)"," ","last"
"handicap",1,"number","Handicap"," "," "," ","handicap"," "," "," ","1-18"," ","last"
"highway",1,"typeCombo","Type","TIpe"," "," ","highway"," "," "," "," "," ","last"
"historic",1,"typeCombo","Type","TIpe"," "," ","historic"," "," "," "," "," ","last"
"hoops",1,"number","Hoops"," "," "," ","hoops"," "," "," ","1, 2, 4...","1, 2, 4...","last"
"iata",1,"text","IATA"," "," "," ","iata"," "," "," "," "," ","last"
"icao",1,"text","ICAO"," "," "," ","icao"," "," "," "," "," ","last"
"incline",1,"combo","Incline","Lereng"," "," ","incline"," "," "," "," "," ","last"
"information",1,"typeCombo","Type","Tipe"," "," ","information"," "," "," "," "," ","last"
"internet_access",1,"combo","Internet Access","Akses Internet"," "," ","internet_access","yes","Yes","Iya"," "," ","last"
"internet_access",2,"combo"," "," "," "," "," ","no","No","Tidak"," "," ","last"
"internet_access",3,"combo"," "," "," "," "," ","wlan","Wifi","Wifi"," "," ","last"
