"lcode","lname","percentFullTranslations","percentFullTranslationsWTerms","missingTranslationsWoutTerms"
"af","Afrikaans","35%","45.94%",692
"ar-AA","Arabic","4.9%","7.11%",1189
"ar","Arabic","55.63%","53.75%",592
"ast","Asturian","49.81%","63.28%",470
"bg-BG","Bulgarian","35.86%","52.03%",614
"bn","Bengali","30.69%","44.53%",710
"bs","Bosnian","63.17%","63.05%",473
"ca","Catalan","83.79%","100%",0
"cs","Czech","100%","100%",0
"da","Danish","100%","100%",0
"de-DE","German","0%","0%",1280
"de","German","99.14%","98.83%",15
"el","Greek","56.49%","60.94%",500
"en-DE","English","0%","0%",1280
"en-GB","English","8.29%","11.72%",1130
"en","English","100%","100%",0
"eo","Esperanto","5.6%","8.13%",1176
"es","Spanish","99.14%","98.83%",15
"et","Estonian","28.11%","40.78%",758
"fa","Persian","53.47%","68.75%",400
"fi","Finnish","64.94%","82.73%",221
"fil","","13.89%","20.16%",1022
"fr","French","99.14%","98.83%",15
"gan","Gan","0%","0%",1280
"gl","Galician","40.01%","56.09%",562
"hi-IN","Hindi","0%","0%",1280
"hr","Croatian","67.21%","77.97%",282
"hu","Hungarian","93.11%","98.05%",25
"hy","Armenian","2.15%","3.13%",1240
"id","Indonesian","48.2%","66.72%",426
"is","Icelandic","43.24%","61.64%",491
"it","Italian","89.71%","93.05%",89
"ja","Japanese","89.45%","89.3%",137
"km-KH","Khmer","0%","0%",1280
"km","Khmer","0%","0%",1280
"kn","Kannada","18.09%","26.25%",944
"ko-KR","Korean","5.22%","7.58%",1183
"ko","Korean","55.2%","76.88%",296
"lt","Lithuanian","61.44%","83.05%",217
"lv","Latvian","24.12%","35%",832
"nl","Dutch","75.98%","94.06%",76
"nn","Norwegian (Nynorsk)","0%","0%",1280
"no","Norwegian (Bokmål)","27.95%","40.55%",761
"pl","Polish","74.47%","84.69%",196
"pt-BR","Portuguese","97.36%","96.95%",39
"pt","Portuguese","100%","100%",0
"ro-RO","Romanian","12.44%","18.05%",1049
"ru-RU","Russian","0%","0%",1280
"ru","Russian","97.04%","96.41%",46
"sc","Sardinian","0.22%","0.31%",1276
"si","Sinhalese","1.02%","1.48%",1261
"sk","Slovak","90.31%","92.11%",101
"sl","Slovenian","87.4%","88.13%",152
"sq-AL","Albanian","0%","0%",1280
"sq","Albanian","0%","0%",1280
"sr-RS","Serbian","0%","0%",1280
"sr","Serbian","49.65%","71.95%",359
"sv","Swedish","99.25%","98.98%",13
"ta","Tamil","13.62%","19.77%",1027
"te","Telugu","15.67%","22.11%",997
"tl","Tagalog","16.59%","24.06%",972
"tr","Turkish","39.8%","57.66%",542
"uk","Ukrainian","99.14%","98.83%",15
"vi","Vietnamese","100%","100%",0
"yue","","62.2%","61.33%",495
"zh-CN.GB2312","Chinese","0%","0%",1280
"zh-CN","Chinese","81.53%","86.48%",173
"zh-HK","Chinese","60.37%","59.22%",522
"zh-TW","Chinese","96.98%","95.86%",53
"zh","Chinese","33.06%","47.97%",666
