"nameTransl","nameEn","presetKey","searchable","icon","tags0","tags1","tags2","tags3","tags4","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation"
"Aeroporto","Aeroway","aeroway"," ","airport","aeroway=*"," "," "," "," ","area","line","point","vertex"," "
"Aeroporto","Airport","aeroway/aerodrome"," ","airport","aeroway=aerodrome"," "," "," "," ","area"," ","point"," "," "
"Attraversamento","Crossing","highway/crossing"," "," ","highway=crossing"," "," "," "," "," "," "," ","vertex"," "
"Attraversamento","Crossing","footway/crossing"," "," ","highway=footway","footway=crossing"," "," "," "," ","line"," "," "," "
"Attraversamento pedonale","Crosswalk","highway/crosswalk"," "," ","highway=crossing","crossing=zebra"," "," "," "," "," "," ","vertex"," "
"Attraversamento pedonale","Crosswalk","footway/crosswalk"," "," ","highway=footway","footway=crossing","crossing=zebra"," "," "," ","line"," "," "," "
"Bunker","Sand Trap","golf/bunker"," ","golf","golf=bunker","natural=sand"," "," "," ","area"," "," "," "," "
"Bunker","Bunker","military/bunker"," "," ","military=bunker"," "," "," "," ","area"," ","point","vertex"," "
"Capanno","Shed","building/shed"," ","building","building=shed"," "," "," "," ","area"," ","point"," "," "
"Capanno","Hut","building/hut"," "," ","building=hut"," "," "," "," ","area"," ","point"," "," "
"Chiesa","Church","building/church"," ","place-of-worship","building=church"," "," "," "," ","area"," ","point"," "," "
"Chiesa","Church","amenity/place_of_worship/christian"," ","religious-christian","amenity=place_of_worship","religion=christian"," "," "," ","area"," ","point"," "," "
"Cimitero","Cemetery","landuse/cemetery"," ","cemetery","landuse=cemetery"," "," "," "," ","area"," ","point","vertex"," "
"Cimitero","Graveyard","amenity/grave_yard"," ","cemetery","amenity=grave_yard"," "," "," "," ","area"," ","point"," "," "
"Confine Amministrativo","Administrative Boundary","type/boundary/administrative"," ","boundary","type=boundary","boundary=administrative"," "," "," "," "," "," "," ","relation"
"Confine Amministrativo","Administrative Boundary","boundary/administrative"," "," ","boundary=administrative"," "," "," "," "," ","line"," "," "," "
"Dormitorio","Dormitory","building/dormitory"," ","building","building=dormitory"," "," "," "," ","area"," ","point"," "," "
"Dormitorio","Homeless Shelter","amenity/social_facility/homeless_shelter"," "," ","amenity=social_facility","social_facility=shelter","social_facility:for=homeless"," "," ","area"," ","point"," "," "
"Ferrovia","Railway","railway"," "," ","railway=*"," "," "," "," ","area","line","point","vertex"," "
"Ferrovia","Rail","railway/rail"," ","railway-rail","railway=rail"," "," "," "," "," ","line"," "," "," "
"Foresta","Wood","natural/wood"," ","park2","natural=wood"," "," "," "," ","area"," ","point"," "," "
"Foresta","Forest","landuse/forest"," ","park2","landuse=forest"," "," "," "," ","area"," ","point"," "," "
"Fossato","Ditch","waterway/ditch"," ","waterway-ditch","waterway=ditch"," "," "," "," "," ","line"," "," "," "
"Fossato","Ditch","barrier/ditch"," "," ","barrier=ditch"," "," "," "," ","area","line"," "," "," "
"Fotografo","Photography Store","shop/photo"," ","camera","shop=photo"," "," "," "," ","area"," ","point"," "," "
"Fotografo","Photographer","craft/photographer"," ","camera","craft=photographer"," "," "," "," ","area"," ","point"," "," "
"Garage","Garage","building/garage"," ","warehouse","building=garage"," "," "," "," ","area"," ","point"," "," "
"Garage","Garages","landuse/garages"," "," ","landuse=garages"," "," "," "," ","area"," "," "," "," "
"Garage","Garages","building/garages"," ","warehouse","building=garages"," "," "," "," ","area"," ","point"," "," "
"Lavanderia","Dry Cleaner","shop/dry_cleaning"," ","shop","shop=dry_cleaning"," "," "," "," ","area"," ","point"," "," "
"Lavanderia","Laundry","shop/laundry"," ","laundry","shop=laundry"," "," "," "," ","area"," ","point"," "," "
"Linea elettrica","Power Line","power/line"," ","power-line","power=line"," "," "," "," "," ","line"," "," "," "
"Linea elettrica","Power Route","type/route/power"," ","route-power","type=route","route=power"," "," "," "," "," "," "," ","relation"
"Negozio","Retail Building","building/retail"," ","building","building=retail"," "," "," "," ","area"," ","point"," "," "
"Negozio","Shop","shop"," ","shop","shop=*"," "," "," "," ","area"," ","point"," "," "
"Residenziale","Residential","landuse/residential"," ","building","landuse=residential"," "," "," "," ","area"," ","point"," "," "
"Residenziale","Residential Road","highway/residential"," ","highway-residential","highway=residential"," "," "," "," "," ","line"," "," "," "
"Rotta","Ferry Route","route/ferry"," ","ferry","route=ferry"," "," "," "," "," ","line"," "," "," "
"Rotta","Ferry Route","type/route/ferry"," ","route-ferry","type=route","route=ferry"," "," "," "," "," "," "," ","relation"
"Sartoria","Tailor","shop/tailor"," ","clothing-store","shop=tailor"," "," "," "," ","area"," ","point"," "," "
"Sartoria","Dressmaker","craft/dressmaker"," ","clothing-store","craft=dressmaker"," "," "," "," ","area"," ","point"," "," "
"Supermercato","Supermarket","shop/supermarket"," ","grocery","shop=supermarket"," "," "," "," ","area"," ","point"," "," "
"Supermercato","Department Store","shop/department_store"," ","shop","shop=department_store"," "," "," "," ","area"," ","point"," "," "
