"presetFieldsKey","r","type","labelEn","labelTransl","icon","universal","keys","optionskey","valueEn","valueTransl","placeholderEn","placeholderTransl","endRec"
"access",1,"access","Access","Accesso"," "," ","access,foot,motor_vehicle,bicycle,horse"," "," "," ","Unknown","Sconosciuto","last"
"access_simple",1,"combo","Access","Accesso"," "," ","access"," "," "," ","yes","sì","last"
"access_toilets",1,"combo","Access","Accesso"," "," ","access"," "," "," "," "," ","last"
"address",1,"address","Address","Indirizzo","address",true,"addr:housename,addr:housenumber,addr:street,addr:city,addr:postcode"," "," "," "," "," ","last"
"admin_level",1,"number","Admin Level","Livello di Amministrazione"," "," ","admin_level"," "," "," "," "," ","last"
"aerialway",1,"typeCombo","Type","Tipo"," "," ","aerialway"," "," "," "," "," ","last"
"aerialway/access",1,"combo","Access","Accesso"," "," ","aerialway:access","entry","Entry","Ingresso"," "," ","last"
"aerialway/access",2,"combo"," "," "," "," "," ","exit","Exit","Uscita"," "," ","last"
"aerialway/access",3,"combo"," "," "," "," "," ","both","Both","Entrambe"," "," ","last"
"aerialway/bubble",1,"check","Bubble","Copertura paravento"," "," ","aerialway:bubble"," "," "," "," "," ","last"
"aerialway/capacity",1,"number","Capacity (per hour)","Portata (persone/ora)"," "," ","aerialway:capacity"," "," "," ","500, 2500, 5000...","500, 2500, 5000...","last"
"aerialway/duration",1,"number","Duration (minutes)","Durata (minuti)"," "," ","aerialway:duration"," "," "," ","1, 2, 3...","1, 2, 3...","last"
"aerialway/heating",1,"check","Heated","Riscaldamento"," "," ","aerialway:heating"," "," "," "," "," ","last"
"aerialway/occupancy",1,"number","Occupancy","Capacità"," "," ","aerialway:occupancy"," "," "," ","2, 4, 8...","2, 4, 8...","last"
"aerialway/summer/access",1,"combo","Access (summer)","Accesso (estate)"," "," ","aerialway:summer:access","entry","Entry","Ingresso"," "," ","last"
"aerialway/summer/access",2,"combo"," "," "," "," "," ","exit","Exit","Uscita"," "," ","last"
"aerialway/summer/access",3,"combo"," "," "," "," "," ","both","Both","Entrambe"," "," ","last"
"aeroway",1,"typeCombo","Type","Tipo"," "," ","aeroway"," "," "," "," "," ","last"
"amenity",1,"typeCombo","Type","Tipo"," "," ","amenity"," "," "," "," "," ","last"
"artist",1,"text","Artist","Artista"," "," ","artist_name"," "," "," "," "," ","last"
"artwork_type",1,"combo","Type","Tipo"," "," ","artwork_type"," "," "," "," "," ","last"
"atm",1,"check","ATM","Bancomat"," "," ","atm"," "," "," "," "," ","last"
"backrest",1,"check","Backrest","Schienale"," "," ","backrest"," "," "," "," "," ","last"
