"presetFieldsKey","r","type","labelEn","labelTransl","icon","universal","keys","optionskey","valueEn","valueTransl","placeholderEn","placeholderTransl","endRec"
"access",1,"access","Access"," "," "," ","access,foot,motor_vehicle,bicycle,horse"," "," "," ","Unknown"," ","last"
"access_simple",1,"combo","Access"," "," "," ","access"," "," "," ","yes"," ","last"
"access_toilets",1,"combo","Access"," "," "," ","access"," "," "," "," "," ","last"
"address",1,"address","Address","주소","address",true,"addr:housename,addr:housenumber,addr:street,addr:city,addr:postcode"," "," "," "," "," ","last"
"admin_level",1,"number","Admin Level"," "," "," ","admin_level"," "," "," "," "," ","last"
"aerialway",1,"typeCombo","Type"," "," "," ","aerialway"," "," "," "," "," ","last"
"aerialway/access",1,"combo","Access"," "," "," ","aerialway:access","entry","Entry",," "," ","last"
"aerialway/access",2,"combo"," "," "," "," "," ","exit","Exit",," "," ","last"
"aerialway/access",3,"combo"," "," "," "," "," ","both","Both",," "," ","last"
"aerialway/bubble",1,"check","Bubble"," "," "," ","aerialway:bubble"," "," "," "," "," ","last"
"aerialway/capacity",1,"number","Capacity (per hour)"," "," "," ","aerialway:capacity"," "," "," ","500, 2500, 5000..."," ","last"
"aerialway/duration",1,"number","Duration (minutes)"," "," "," ","aerialway:duration"," "," "," ","1, 2, 3..."," ","last"
"aerialway/heating",1,"check","Heated"," "," "," ","aerialway:heating"," "," "," "," "," ","last"
"aerialway/occupancy",1,"number","Occupancy"," "," "," ","aerialway:occupancy"," "," "," ","2, 4, 8..."," ","last"
"aerialway/summer/access",1,"combo","Access (summer)"," "," "," ","aerialway:summer:access","entry","Entry",," "," ","last"
"aerialway/summer/access",2,"combo"," "," "," "," "," ","exit","Exit",," "," ","last"
"aerialway/summer/access",3,"combo"," "," "," "," "," ","both","Both",," "," ","last"
"aeroway",1,"typeCombo","Type","종류"," "," ","aeroway"," "," "," "," "," ","last"
"amenity",1,"typeCombo","Type","종류"," "," ","amenity"," "," "," "," "," ","last"
"artist",1,"text","Artist"," "," "," ","artist_name"," "," "," "," "," ","last"
"artwork_type",1,"combo","Type"," "," "," ","artwork_type"," "," "," "," "," ","last"
"atm",1,"check","ATM","ATM"," "," ","atm"," "," "," "," "," ","last"
"backrest",1,"check","Backrest"," "," "," ","backrest"," "," "," "," "," ","last"
"barrier",1,"typeCombo","Type"," "," "," ","barrier"," "," "," "," "," ","last"
"bench",1,"check","Bench"," "," "," ","bench"," "," "," "," "," ","last"
"bicycle_parking",1,"combo","Type","종류"," "," ","bicycle_parking"," "," "," "," "," ","last"
"boundary",1,"combo","Type"," "," "," ","boundary"," "," "," "," "," ","last"
"brand",1,"text","Brand"," "," "," ","brand"," "," "," "," "," ","last"
"building",1,"typeCombo","Building","건물"," "," ","building"," "," "," "," "," ","last"
"building_area",1,"defaultcheck","Building","건물"," "," ","building"," "," "," "," "," ","last"
"capacity",1,"number","Capacity"," "," "," ","capacity"," "," "," ","50, 100, 200..."," ","last"
"cardinal_direction",1,"combo","Direction"," "," "," ","direction","N","North",," "," ","last"
"cardinal_direction",2,"combo"," "," "," "," "," ","E","East",," "," ","last"
"cardinal_direction",3,"combo"," "," "," "," "," ","S","South",," "," ","last"
"cardinal_direction",4,"combo"," "," "," "," "," ","W","West",," "," ","last"
"cardinal_direction",5,"combo"," "," "," "," "," ","NE","Northeast",," "," ","last"
"cardinal_direction",6,"combo"," "," "," "," "," ","SE","Southeast",," "," ","last"
"cardinal_direction",7,"combo"," "," "," "," "," ","SW","Southwest",," "," ","last"
"cardinal_direction",8,"combo"," "," "," "," "," ","NW","Northwest",," "," ","last"
"cardinal_direction",9,"combo"," "," "," "," "," ","NNE","North-northeast",," "," ","last"
"cardinal_direction",10,"combo"," "," "," "," "," ","ENE","East-northeast",," "," ","last"
"cardinal_direction",11,"combo"," "," "," "," "," ","ESE","East-southeast",," "," ","last"
"cardinal_direction",12,"combo"," "," "," "," "," ","SSE","South-southeast",," "," ","last"
"cardinal_direction",13,"combo"," "," "," "," "," ","SSW","South-southwest",," "," ","last"
"cardinal_direction",14,"combo"," "," "," "," "," ","WSW","West-southwest",," "," ","last"
"cardinal_direction",15,"combo"," "," "," "," "," ","WNW","West-northwest",," "," ","last"
"cardinal_direction",16,"combo"," "," "," "," "," ","NNW","North-northwest",," "," ","last"
"clock_direction",1,"combo","Direction"," "," "," ","direction","clockwise","Clockwise",," "," ","last"
"clock_direction",2,"combo"," "," "," "," "," ","anticlockwise","Counterclockwise",," "," ","last"
"collection_times",1,"text","Collection Times"," "," "," ","collection_times"," "," "," "," "," ","last"
"construction",1,"combo","Type","종류"," "," ","construction"," "," "," "," "," ","last"
"country",1,"combo","Country"," "," "," ","country"," "," "," "," "," ","last"
"covered",1,"check","Covered"," "," "," ","covered"," "," "," "," "," ","last"
"craft",1,"typeCombo","Type"," "," "," ","craft"," "," "," "," "," ","last"
"crop",1,"combo","Crop"," "," "," ","crop"," "," "," "," "," ","last"
"crossing",1,"combo","Type","종류"," "," ","crossing"," "," "," "," "," ","last"
"cuisine",1,"combo","Cuisine"," "," "," ","cuisine"," "," "," "," "," ","last"
"delivery",1,"check","Delivery"," "," "," ","delivery"," "," "," "," "," ","last"
"denomination",1,"combo","Denomination"," "," "," ","denomination"," "," "," "," "," ","last"
"denotation",1,"combo","Denotation"," "," "," ","denotation"," "," "," "," "," ","last"
"description",1,"textarea","Description"," "," "," ","description"," "," "," "," "," ","last"
"electrified",1,"combo","Electrification"," "," "," ","electrified","contact_line","Contact Line",,"Contact Line, Electrified Rail..."," ","last"
"electrified",2,"combo"," "," "," "," "," ","rail","Electrified Rail",," "," ","last"
"electrified",3,"combo"," "," "," "," "," ","yes","Yes (unspecified)",," "," ","last"
"electrified",4,"combo"," "," "," "," "," ","no","No",," "," ","last"
"elevation",1,"number","Elevation"," ","elevation",true,"ele"," "," "," "," "," ","last"
"emergency",1,"check","Emergency"," "," "," ","emergency"," "," "," "," "," ","last"
"entrance",1,"typeCombo","Type","종류"," "," ","entrance"," "," "," "," "," ","last"
"except",1,"combo","Exceptions"," "," "," ","except"," "," "," "," "," ","last"
"fax",1,"tel","Fax","Fax"," "," ","fax"," "," "," ","+31 42 123 4567"," ","last"
"fee",1,"check","Fee"," "," "," ","fee"," "," "," "," "," ","last"
"fire_hydrant/type",1,"combo","Type"," "," "," ","fire_hydrant:type","pillar","Pillar/Aboveground",," "," ","last"
"fire_hydrant/type",2,"combo"," "," "," "," "," ","underground","Underground",," "," ","last"
"fire_hydrant/type",3,"combo"," "," "," "," "," ","wall","Wall",," "," ","last"
"fire_hydrant/type",4,"combo"," "," "," "," "," ","pond","Pond",," "," ","last"
"fixme",1,"textarea","Fix Me"," "," "," ","fixme"," "," "," "," "," ","last"
"fuel",1,"combo","Fuel"," "," "," ","fuel"," "," "," "," "," ","last"
"fuel/biodiesel",1,"check","Sells Biodiesel"," "," "," ","fuel:biodiesel"," "," "," "," "," ","last"
"fuel/diesel",1,"check","Sells Diesel"," "," "," ","fuel:diesel"," "," "," "," "," ","last"
"fuel/e10",1,"check","Sells E10"," "," "," ","fuel:e10"," "," "," "," "," ","last"
"fuel/e85",1,"check","Sells E85"," "," "," ","fuel:e85"," "," "," "," "," ","last"
"fuel/lpg",1,"check","Sells Propane"," "," "," ","fuel:lpg"," "," "," "," "," ","last"
"fuel/octane_100",1,"check","Sells Racing Gasoline"," "," "," ","fuel:octane_100"," "," "," "," "," ","last"
"fuel/octane_91",1,"check","Sells Regular Gasoline"," "," "," ","fuel:octane_91"," "," "," "," "," ","last"
"fuel/octane_95",1,"check","Sells Midgrade Gasoline"," "," "," ","fuel:octane_95"," "," "," "," "," ","last"
"fuel/octane_98",1,"check","Sells Premium Gasoline"," "," "," ","fuel:octane_98"," "," "," "," "," ","last"
"gauge",1,"combo","Gauge"," "," "," ","gauge"," "," "," "," "," ","last"
"gender",1,"radio","Gender"," "," "," ","male,female,unisex"," "," "," ","Unknown"," ","last"
"generator/method",1,"combo","Method"," "," "," ","generator:method"," "," "," "," "," ","last"
"generator/source",1,"combo","Source"," "," "," ","generator:source"," "," "," "," "," ","last"
"generator/type",1,"combo","Type"," "," "," ","generator:type"," "," "," "," "," ","last"
"golf_hole",1,"text","Reference"," "," "," ","ref"," "," "," ","Hole number (1-18)"," ","last"
"handicap",1,"number","Handicap"," "," "," ","handicap"," "," "," ","1-18"," ","last"
"highway",1,"typeCombo","Type","종류"," "," ","highway"," "," "," "," "," ","last"
"historic",1,"typeCombo","Type","종류"," "," ","historic"," "," "," "," "," ","last"
"hoops",1,"number","Hoops"," "," "," ","hoops"," "," "," ","1, 2, 4..."," ","last"
"iata",1,"text","IATA"," "," "," ","iata"," "," "," "," "," ","last"
"icao",1,"text","ICAO"," "," "," ","icao"," "," "," "," "," ","last"
"incline",1,"combo","Incline"," "," "," ","incline"," "," "," "," "," ","last"
"information",1,"typeCombo","Type"," "," "," ","information"," "," "," "," "," ","last"
"internet_access",1,"combo","Internet Access","인터넷 이용 가능 여부"," "," ","internet_access","wlan","Yes","Wifi"," "," ","last"
"internet_access",2,"combo"," "," "," "," "," ","terminal","No","터미널"," "," ","last"
"internet_access",3,"combo"," "," "," "," "," ","wlan","Wifi",," "," ","last"
"internet_access",4,"combo"," "," "," "," "," ","wired","Wired",," "," ","last"
"internet_access",5,"combo"," "," "," "," "," ","terminal","Terminal",," "," ","last"
"lamp_type",1,"combo","Type"," "," "," ","lamp_type"," "," "," "," "," ","last"
"landuse",1,"typeCombo","Type","종류"," "," ","landuse"," "," "," "," "," ","last"
"lanes",1,"number","Lanes"," "," "," ","lanes"," "," "," ","1, 2, 3..."," ","last"
"layer",1,"combo","Layer"," "," "," ","layer"," "," "," "," "," ","last"
