"presetFieldsKey","r","type","labelEn","labelTransl","icon","universal","keys","optionskey","valueEn","valueTransl","placeholderEn","placeholderTransl","endRec"
"access",1,"access","Access","Acesso"," "," ","access,foot,motor_vehicle,bicycle,horse"," "," "," ","Unknown","Desconhecido","last"
"access_simple",1,"combo","Access","Acesso"," "," ","access"," "," "," ","yes","sim","last"
"access_toilets",1,"combo","Access","Acesso"," "," ","access"," "," "," "," "," ","last"
"address",1,"address","Address","Morada","address",true,"addr:housename,addr:housenumber,addr:street,addr:city,addr:postcode"," "," "," "," "," ","last"
"admin_level",1,"number","Admin Level","Nível Administrativo"," "," ","admin_level"," "," "," "," "," ","last"
"aerialway",1,"typeCombo","Type","Tipo"," "," ","aerialway"," "," "," "," "," ","last"
"aerialway/access",1,"combo","Access","Acesso"," "," ","aerialway:access","entry","Entry","Entrada"," "," ","last"
"aerialway/access",2,"combo"," "," "," "," "," ","exit","Exit","Saída"," "," ","last"
"aerialway/access",3,"combo"," "," "," "," "," ","both","Both","Ambas"," "," ","last"
"aerialway/bubble",1,"check","Bubble","Bolha"," "," ","aerialway:bubble"," "," "," "," "," ","last"
"aerialway/capacity",1,"number","Capacity (per hour)","Capacidade (por hora)"," "," ","aerialway:capacity"," "," "," ","500, 2500, 5000...","500, 2500, 5000...","last"
"aerialway/duration",1,"number","Duration (minutes)","Duração (minutos)"," "," ","aerialway:duration"," "," "," ","1, 2, 3...","1, 2, 3...","last"
"aerialway/heating",1,"check","Heated","Aquecido"," "," ","aerialway:heating"," "," "," "," "," ","last"
"aerialway/occupancy",1,"number","Occupancy","Ocupação Máxima"," "," ","aerialway:occupancy"," "," "," ","2, 4, 8...","2, 4, 8....","last"
"aerialway/summer/access",1,"combo","Access (summer)","Acesso (verão)"," "," ","aerialway:summer:access","entry","Entry","Entrada"," "," ","last"
"aerialway/summer/access",2,"combo"," "," "," "," "," ","exit","Exit","Saída"," "," ","last"
"aerialway/summer/access",3,"combo"," "," "," "," "," ","both","Both","Ambas"," "," ","last"
"aeroway",1,"typeCombo","Type","Tipo"," "," ","aeroway"," "," "," "," "," ","last"
"amenity",1,"typeCombo","Type","Tipo"," "," ","amenity"," "," "," "," "," ","last"
"artist",1,"text","Artist","Artista"," "," ","artist_name"," "," "," "," "," ","last"
"artwork_type",1,"combo","Type","Tipo"," "," ","artwork_type"," "," "," "," "," ","last"
"atm",1,"check","ATM","Multibanco"," "," ","atm"," "," "," "," "," ","last"
"backrest",1,"check","Backrest","Encosto"," "," ","backrest"," "," "," "," "," ","last"
"barrier",1,"typeCombo","Type","Tipo"," "," ","barrier"," "," "," "," "," ","last"
"bench",1,"check","Bench","Banco de Sentar"," "," ","bench"," "," "," "," "," ","last"
"bicycle_parking",1,"combo","Type","Tipo"," "," ","bicycle_parking"," "," "," "," "," ","last"
"boundary",1,"combo","Type","Tipo"," "," ","boundary"," "," "," "," "," ","last"
"building",1,"typeCombo","Building","Edifício"," "," ","building"," "," "," "," "," ","last"
"building_area",1,"defaultcheck","Building","Edifício"," "," ","building"," "," "," "," "," ","last"
"capacity",1,"number","Capacity","Capacidade"," "," ","capacity"," "," "," ","50, 100, 200...","50, 100, 200...","last"
