"nameTransl","nameEn","presetKey","searchable","icon","tags0","tags1","tags2","tags3","tags4","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation"
"Autobusová zastávka","Bus Station","amenity/bus_station"," ","bus","amenity=bus_station"," "," "," "," ","area"," ","point"," "," "
"Autobusová zastávka","Bus Stop","highway/bus_stop"," ","bus","highway=bus_stop"," "," "," "," "," "," ","point","vertex"," "
"Chata","Cabin","building/cabin"," ","building","building=cabin"," "," "," "," ","area"," ","point"," "," "
"Chata","Hut","building/hut"," "," ","building=hut"," "," "," "," ","area"," ","point"," "," "
"Chodník","Foot Path","highway/footway"," ","highway-footway","highway=footway"," "," "," "," ","area","line"," "," "," "
"Chodník","Sidewalk","footway/sidewalk"," "," ","highway=footway","footway=sidewalk"," "," "," "," ","line"," "," "," "
"Kabínková lanovka","Cable Car","aerialway/cable_car"," "," ","aerialway=cable_car"," "," "," "," "," ","line"," "," "," "
"Kabínková lanovka","Chair Lift","aerialway/chair_lift"," "," ","aerialway=chair_lift"," "," "," "," "," ","line"," "," "," "
"Kostol","Church","amenity/place_of_worship/christian"," ","religious-christian","amenity=place_of_worship","religion=christian"," "," "," ","area"," ","point"," "," "
"Kostol","Church","building/church"," ","place-of-worship","building=church"," "," "," "," ","area"," ","point"," "," "
"Prechod","Crossing","footway/crossing"," "," ","highway=footway","footway=crossing"," "," "," "," ","line"," "," "," "
"Prechod","Crosswalk","footway/crosswalk"," "," ","highway=footway","footway=crossing","crossing=zebra"," "," "," ","line"," "," "," "
"Priekopa","Ditch","barrier/ditch"," "," ","barrier=ditch"," "," "," "," ","area","line"," "," "," "
"Priekopa","Ditch","waterway/ditch"," ","waterway-ditch","waterway=ditch"," "," "," "," "," ","line"," "," "," "
"Trajektová trasa","Ferry Route","route/ferry"," ","ferry","route=ferry"," "," "," "," "," ","line"," "," "," "
"Trajektová trasa","Ferry Route","type/route/ferry"," ","route-ferry","type=route","route=ferry"," "," "," "," "," "," "," ","relation"
"Turistická trasa","Foot Route","type/route/foot"," ","route-foot","type=route","route=foot"," "," "," "," "," "," "," ","relation"
"Turistická trasa","Hiking Route","type/route/hiking"," ","route-foot","type=route","route=hiking"," "," "," "," "," "," "," ","relation"
