"presetFieldsKey","r","type","labelEn","labelTransl","icon","universal","keys","optionskey","valueEn","valueTransl","placeholderEn","placeholderTransl","endRec"
"access",1,"access","Access","Tillgång"," "," ","access,foot,motor_vehicle,bicycle,horse"," "," "," ","Unknown","Okänt","last"
"access_simple",1,"combo","Access","Tillgång"," "," ","access"," "," "," ","yes","ja","last"
"access_toilets",1,"combo","Access","Tillgång"," "," ","access"," "," "," "," "," ","last"
"address",1,"address","Address","Adress","address",true,"addr:housename,addr:housenumber,addr:street,addr:city,addr:postcode"," "," "," "," "," ","last"
"admin_level",1,"number","Admin Level","Administrativ nivå"," "," ","admin_level"," "," "," "," "," ","last"
"aerialway",1,"typeCombo","Type","Typ"," "," ","aerialway"," "," "," "," "," ","last"
"aerialway/access",1,"combo","Access","Tillgång"," "," ","aerialway:access","entry","Entry","Ingång"," "," ","last"
"aerialway/access",2,"combo"," "," "," "," "," ","exit","Exit","Utgång"," "," ","last"
"aerialway/access",3,"combo"," "," "," "," "," ","both","Both","Båda"," "," ","last"
"aerialway/bubble",1,"check","Bubble","Skidkabin"," "," ","aerialway:bubble"," "," "," "," "," ","last"
"aerialway/capacity",1,"number","Capacity (per hour)","Kapacitet (per timme)"," "," ","aerialway:capacity"," "," "," ","500, 2500, 5000...","500, 2500, 5000...","last"
"aerialway/duration",1,"number","Duration (minutes)","Varaktighet (min)"," "," ","aerialway:duration"," "," "," ","1, 2, 3...","1, 2, 3...","last"
"aerialway/heating",1,"check","Heated","Uppvärmd"," "," ","aerialway:heating"," "," "," "," "," ","last"
"aerialway/occupancy",1,"number","Occupancy","Antal personer"," "," ","aerialway:occupancy"," "," "," ","2, 4, 8...","2, 4, 8...","last"
"aerialway/summer/access",1,"combo","Access (summer)","Tillgång (sommar)"," "," ","aerialway:summer:access","entry","Entry","Ingång"," "," ","last"
"aerialway/summer/access",2,"combo"," "," "," "," "," ","exit","Exit","Utgång"," "," ","last"
"aerialway/summer/access",3,"combo"," "," "," "," "," ","both","Both","Båda"," "," ","last"
"aeroway",1,"typeCombo","Type","Typ"," "," ","aeroway"," "," "," "," "," ","last"
"amenity",1,"typeCombo","Type","Typ"," "," ","amenity"," "," "," "," "," ","last"
"artist",1,"text","Artist","Konstnär"," "," ","artist_name"," "," "," "," "," ","last"
"artwork_type",1,"combo","Type","Typ"," "," ","artwork_type"," "," "," "," "," ","last"
"atm",1,"check","ATM","Uttagsautomat"," "," ","atm"," "," "," "," "," ","last"
"backrest",1,"check","Backrest","Ryggstöd"," "," ","backrest"," "," "," "," "," ","last"
"barrier",1,"typeCombo","Type","Typ"," "," ","barrier"," "," "," "," "," ","last"
"bench",1,"check","Bench","Bänk"," "," ","bench"," "," "," "," "," ","last"
"bicycle_parking",1,"combo","Type","Typ"," "," ","bicycle_parking"," "," "," "," "," ","last"
"boundary",1,"combo","Type","Typ"," "," ","boundary"," "," "," "," "," ","last"
"building",1,"typeCombo","Building","Byggnad"," "," ","building"," "," "," "," "," ","last"
"building_area",1,"defaultcheck","Building","Byggnad"," "," ","building"," "," "," "," "," ","last"
"capacity",1,"number","Capacity","Kapacitet"," "," ","capacity"," "," "," ","50, 100, 200...","50, 100, 200...","last"
"cardinal_direction",1,"combo","Direction","Riktning"," "," ","direction","N","North","Norr"," "," ","last"
"cardinal_direction",2,"combo"," "," "," "," "," ","E","East","Öster"," "," ","last"
"cardinal_direction",3,"combo"," "," "," "," "," ","S","South","Söder"," "," ","last"
"cardinal_direction",4,"combo"," "," "," "," "," ","W","West","Väster"," "," ","last"
"cardinal_direction",5,"combo"," "," "," "," "," ","NE","Northeast","Nordost"," "," ","last"
"cardinal_direction",6,"combo"," "," "," "," "," ","SE","Southeast","Sydost"," "," ","last"
"cardinal_direction",7,"combo"," "," "," "," "," ","SW","Southwest","Sydväst"," "," ","last"
"cardinal_direction",8,"combo"," "," "," "," "," ","NW","Northwest","Nordväst"," "," ","last"
"cardinal_direction",9,"combo"," "," "," "," "," ","NNE","North-northeast","Nordnordost"," "," ","last"
"cardinal_direction",10,"combo"," "," "," "," "," ","ENE","East-northeast","Ostnordost"," "," ","last"
"cardinal_direction",11,"combo"," "," "," "," "," ","ESE","East-southeast","Ostsydost"," "," ","last"
"cardinal_direction",12,"combo"," "," "," "," "," ","SSE","South-southeast","Sydsydost"," "," ","last"
"cardinal_direction",13,"combo"," "," "," "," "," ","SSW","South-southwest","Sydsydväst"," "," ","last"
"cardinal_direction",14,"combo"," "," "," "," "," ","WSW","West-southwest","Västsydväst"," "," ","last"
"cardinal_direction",15,"combo"," "," "," "," "," ","WNW","West-northwest","Västnordväst"," "," ","last"
"cardinal_direction",16,"combo"," "," "," "," "," ","NNW","North-northwest","Nordnordväst"," "," ","last"
"clock_direction",1,"combo","Direction","Riktning"," "," ","direction","clockwise","Clockwise","Medsols"," "," ","last"
"clock_direction",2,"combo"," "," "," "," "," ","anticlockwise","Counterclockwise","Motsols"," "," ","last"
"collection_times",1,"text","Collection Times","Hämtningstider"," "," ","collection_times"," "," "," "," "," ","last"
"construction",1,"combo","Type","Typ"," "," ","construction"," "," "," "," "," ","last"
"country",1,"combo","Country","Land"," "," ","country"," "," "," "," "," ","last"
"covered",1,"check","Covered","Övertäckt"," "," ","covered"," "," "," "," "," ","last"
"craft",1,"typeCombo","Type","Typ"," "," ","craft"," "," "," "," "," ","last"
"crop",1,"combo","Crop","Gröda"," "," ","crop"," "," "," "," "," ","last"
"crossing",1,"combo","Type","Typ"," "," ","crossing"," "," "," "," "," ","last"
"cuisine",1,"combo","Cuisine","Typ av mat"," "," ","cuisine"," "," "," "," "," ","last"
"delivery",1,"check","Delivery","Hemleverans"," "," ","delivery"," "," "," "," "," ","last"
"denomination",1,"combo","Denomination","Samfund"," "," ","denomination"," "," "," "," "," ","last"
"denotation",1,"combo","Denotation","Betydelse"," "," ","denotation"," "," "," "," "," ","last"
"description",1,"textarea","Description","Beskrivning"," "," ","description"," "," "," "," "," ","last"
"electrified",1,"combo","Electrification","Elförsörjning"," "," ","electrified","contact_line","Contact Line","Kontaktledning","Contact Line, Electrified Rail...","Kontaktledning, elektrifierad räls...","last"
"electrified",2,"combo"," "," "," "," "," ","rail","Electrified Rail","Elektrifierad räls"," "," ","last"
"electrified",3,"combo"," "," "," "," "," ","yes","Yes (unspecified)","Ja (ospecificerad)"," "," ","last"
"electrified",4,"combo"," "," "," "," "," ","no","No","Nej"," "," ","last"
"elevation",1,"number","Elevation","Höjd","elevation",true,"ele"," "," "," "," "," ","last"
"emergency",1,"check","Emergency","Akut"," "," ","emergency"," "," "," "," "," ","last"
