"nameTransl","nameEn","presetKey","searchable","icon","tags0","tags1","tags2","tags3","tags4","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation"
"Ga ra","Garage","building/garage"," ","warehouse","building=garage"," "," "," "," ","area"," ","point"," "," "
"Ga ra","Garages","landuse/garages"," "," ","landuse=garages"," "," "," "," ","area"," "," "," "," "
"Lối Băng qua Đường","Crossing","footway/crossing"," "," ","highway=footway","footway=crossing"," "," "," "," ","line"," "," "," "
"Lối Băng qua Đường","Crosswalk","footway/crosswalk"," "," ","highway=footway","footway=crossing","crossing=zebra"," "," "," ","line"," "," "," "
"Lối Băng qua Đường","Crossing","highway/crossing"," "," ","highway=crossing"," "," "," "," "," "," "," ","vertex"," "
"Lối Băng qua Đường","Crosswalk","highway/crosswalk"," "," ","highway=crossing","crossing=zebra"," "," "," "," "," "," ","vertex"," "
"Mương","Ditch","waterway/ditch"," ","waterway-ditch","waterway=ditch"," "," "," "," "," ","line"," "," "," "
"Mương","Ditch","barrier/ditch"," "," ","barrier=ditch"," "," "," "," ","area","line"," "," "," "
"Nhà thờ","Church","amenity/place_of_worship/christian"," ","religious-christian","amenity=place_of_worship","religion=christian"," "," "," ","area"," ","point"," "," "
"Nhà thờ","Church","building/church"," ","place-of-worship","building=church"," "," "," "," ","area"," ","point"," "," "
"Ranh giới Hành chính","Administrative Boundary","type/boundary/administrative"," ","boundary","type=boundary","boundary=administrative"," "," "," "," "," "," "," ","relation"
"Ranh giới Hành chính","Administrative Boundary","boundary/administrative"," "," ","boundary=administrative"," "," "," "," "," ","line"," "," "," "
"Tiệm Kẹo","Confectionery","craft/confectionery"," ","bakery","craft=confectionery"," "," "," "," ","area"," ","point"," "," "
"Tiệm Kẹo","Candy Store","shop/confectionery"," ","shop","shop=confectionery"," "," "," "," ","area"," ","point"," "," "
"Tiệm Mỹ phẩm","Cosmetics Store","shop/cosmetics"," ","shop","shop=cosmetics"," "," "," "," ","area"," ","point"," "," "
"Tiệm Mỹ phẩm","Beauty Shop","shop/beauty"," ","shop","shop=beauty"," "," "," "," ","area"," ","point"," "," "
"Tiệm Thời trang","Fashion Store","shop/fashion"," ","shop","shop=fashion"," "," "," "," ","area"," ","point"," "," "
"Tiệm Thời trang","Boutique","shop/boutique"," ","shop","shop=boutique"," "," "," "," ","area"," ","point"," "," "
"Tiệm Trang trí Nội thất","Interior Decoration Store","shop/interior_decoration"," ","shop","shop=interior_decoration"," "," "," "," ","area"," ","point"," "," "
"Tiệm Trang trí Nội thất","Kitchen Design Store","shop/kitchen"," ","shop","shop=kitchen"," "," "," "," ","area"," ","point"," "," "
"Đường sắt","Rail","railway/rail"," ","railway-rail","railway=rail"," "," "," "," "," ","line"," "," "," "
"Đường sắt","Railway","railway"," "," ","railway=*"," "," "," "," ","area","line","point","vertex"," "
"Địa phương","Locality","place/locality"," ","marker","place=locality"," "," "," "," ","area"," ","point"," "," "
"Địa phương","Place","place"," "," ","place=*"," "," "," "," ","area"," ","point","vertex"," "
"Đồng cỏ","Meadow","landuse/meadow"," "," ","landuse=meadow"," "," "," "," ","area"," "," "," "," "
"Đồng cỏ","Grassland","natural/grassland"," "," ","natural=grassland"," "," "," "," ","area"," ","point"," "," "
