"nameTransl","nameEn","presetKey","searchable","icon","tags0","tags1","tags2","tags3","tags4","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation"
"墓地","Graveyard","amenity/grave_yard"," ","cemetery","amenity=grave_yard"," "," "," "," ","area"," ","point"," "," "
"墓地","Cemetery","landuse/cemetery"," ","cemetery","landuse=cemetery"," "," "," "," ","area"," "," "," "," "
"废弃的铁路","Disused Railway","railway/disused"," ","railway-disused","railway=disused"," "," "," "," "," ","line"," "," "," "
"废弃的铁路","Abandoned Railway","railway/abandoned"," ","railway-abandoned","railway=abandoned"," "," "," "," "," ","line"," "," "," "
"建筑物","Building","building"," ","building","building=*"," "," "," "," ","area"," "," "," "," "
"建筑物","Construction","landuse/construction"," "," ","landuse=construction"," "," "," "," ","area"," "," "," "," "
"村庄","Village","place/village"," ","village","place=village"," "," "," "," ","area"," ","point"," "," "
"村庄","Hamlet","place/hamlet"," ","triangle-stroked","place=hamlet"," "," "," "," ","area"," ","point"," "," "
"渡轮航线","Ferry Route","route/ferry"," ","ferry","route=ferry"," "," "," "," "," ","line"," "," "," "
"渡轮航线","Ferry Route","type/route/ferry"," ","route-ferry","type=route","route=ferry"," "," "," "," "," "," "," ","relation"
"码头","Pier","man_made/pier"," "," ","man_made=pier"," "," "," "," ","area","line"," "," "," "
"码头","Marina","leisure/marina"," ","harbor","leisure=marina"," "," "," "," ","area"," ","point","vertex"," "
"花店","Florist","shop/florist"," ","shop","shop=florist"," "," "," "," ","area"," ","point"," "," "
"花店","Garden Center","shop/garden_centre"," ","shop","shop=garden_centre"," "," "," "," ","area"," ","point"," "," "
"药房","Pharmacy","amenity/pharmacy"," ","pharmacy","amenity=pharmacy"," "," "," "," ","area"," ","point"," "," "
"药房","Chemist","shop/chemist"," ","chemist","shop=chemist"," "," "," "," ","area"," ","point"," "," "
