"presetKey","presetKey0","presetKey1","presetKey2","keyName","nameEn","nameTransl","nameTranslLength","nameTranslWarnings","duplicateTranslation","notTranslatedName","termsEn","termsTransl","termsTranslLength","termsTranslWarnings","icon","suggestion","fields","searchable","matchScore","tags0","tags1","tags2","tags3","tags4","tagsLength","addTags0","addTags1","addTags2","addTags3","addTags4","addTagsLength","removeTags0","removeTags1","removeTags2","removeTags3","removeTags4","removeTagsLength","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation","endRec"
"address","address"," "," ","Address","Address","地址",2," "," "," ",""," ",0," "," "," ","address"," ",0.2,"addr:housenumber=*"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point"," "," ","last"
"aerialway","aerialway"," "," ","Aerialway","Aerialway"," ",0," "," ","notTranslated","ski lift,funifor,funitel"," ",0," "," "," ","aerialway"," "," ","aerialway=*"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line","point","vertex"," ","last"
"aerialway/cable_car","aerialway","cable_car"," ","Cable Car","Cable Car"," ",0," "," ","notTranslated","tramway,ropeway"," ",0," "," "," ","aerialway/occupancy,aerialway/capacity,aerialway/duration,aerialway/heating"," "," ","aerialway=cable_car"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/chair_lift","aerialway","chair_lift"," ","Chair Lift","Chair Lift"," ",0," "," ","notTranslated",""," ",0," "," "," ","aerialway/occupancy,aerialway/capacity,aerialway/duration,aerialway/bubble,aerialway/heating"," "," ","aerialway=chair_lift"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/gondola","aerialway","gondola"," ","Gondola","Gondola"," ",0," "," ","notTranslated",""," ",0," "," "," ","aerialway/occupancy,aerialway/capacity,aerialway/duration,aerialway/bubble,aerialway/heating"," "," ","aerialway=gondola"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/magic_carpet","aerialway","magic_carpet"," ","Magic Carpet Lift","Magic Carpet Lift"," ",0," "," ","notTranslated",""," ",0," "," "," ","aerialway/capacity,aerialway/duration,aerialway/heating"," "," ","aerialway=magic_carpet"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/platter","aerialway","platter"," ","Platter Lift","Platter Lift"," ",0," "," ","notTranslated","button lift,poma lift"," ",0," "," "," ","aerialway/capacity,aerialway/duration"," "," ","aerialway=platter"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/pylon","aerialway","pylon"," ","Aerialway Pylon","Aerialway Pylon"," ",0," "," ","notTranslated",""," ",0," "," "," ","ref"," "," ","aerialway=pylon"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"aerialway/rope_tow","aerialway","rope_tow"," ","Rope Tow Lift","Rope Tow Lift"," ",0," "," ","notTranslated","handle tow,bugel lift"," ",0," "," "," ","aerialway/capacity,aerialway/duration"," "," ","aerialway=rope_tow"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," ","line"," "," "," ","last"
"aerialway/station","aerialway","station"," ","Aerialway Station","Aerialway Station"," ",0," "," ","notTranslated",""," ",0," "," "," ","aerialway/access,aerialway/summer/access,elevation"," "," ","aerialway=station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
